step,phase,t_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,fwd_progress_m,lat_offset_m,speed_ms,front_d_m,min_depth_m,prox_alarm,depth_top,depth_mid,depth_bot,tgt_x,tgt_y,tgt_z,collision,near_miss,armed,mode
109,OUTBOUND,11.06,20.181,-1.316,1.593,-38.682,0.401,-0.678,20.181,-0.916,38.682,4.66,2.147,0,3.403,5.916,3.975,34.056,0.046,1.627,0,0,0,OFFBOARD
110,OUTBOUND,11.16,20.387,-1.323,1.595,-38.682,0.401,-0.678,20.387,-0.923,38.682,4.46,1.947,1,3.3,5.716,3.958,34.42,0.237,1.633,0,0,0,OFFBOARD
111,OUTBOUND,11.26,20.589,-1.3,1.597,-38.682,0.401,-0.678,20.589,-0.9,38.682,4.408,1.896,1,3.852,5.448,4.006,34.659,0.427,1.638,0,0,0,OFFBOARD
112,OUTBOUND,11.37,20.791,-1.25,1.6,-38.682,0.401,-0.678,20.791,-0.85,38.682,5.132,2.211,0,3.871,6.301,4.024,34.815,0.584,1.643,0,0,0,OFFBOARD
113,OUTBOUND,11.47,20.997,-1.172,1.603,-38.682,0.401,-0.678,20.997,-0.772,38.682,5.048,2.303,0,3.792,6.304,4.035,35.015,0.742,1.647,0,0,0,OFFBOARD
114,OUTBOUND,11.57,21.199,-1.071,1.606,-38.682,0.401,-0.678,21.199,-0.671,38.682,4.846,2.333,0,3.59,6.293,4.05,35.284,0.874,1.651,0,0,0,OFFBOARD
115,OUTBOUND,11.67,21.403,-0.949,1.61,-38.682,0.401,-0.678,21.403,-0.549,38.682,4.873,2.317,0,3.585,10.0,4.066,35.617,0.989,1.654,0,0,0,OFFBOARD
116,OUTBOUND,11.77,21.605,-0.811,1.614,-38.682,0.401,-0.678,21.605,-0.411,38.682,5.704,2.781,0,4.149,10.0,4.084,35.99,1.076,1.656,0,0,0,OFFBOARD
117,OUTBOUND,11.87,21.809,-0.659,1.618,-38.682,0.401,-0.678,21.809,-0.259,38.682,5.504,2.864,0,4.248,10.0,4.099,36.391,1.153,1.657,0,0,0,OFFBOARD
118,OUTBOUND,11.98,22.011,-0.498,1.622,-38.682,0.401,-0.678,22.011,-0.098,38.682,5.459,2.662,0,4.046,10.0,4.074,36.809,1.218,1.658,0,0,0,OFFBOARD
119,OUTBOUND,12.08,22.213,-0.33,1.626,-38.682,0.401,-0.678,22.213,0.07,38.682,2.627,2.466,0,4.051,2.636,2.571,37.238,1.284,1.657,0,0,0,OFFBOARD
120,OUTBOUND,12.18,22.417,-0.156,1.629,-38.682,0.401,-0.678,22.417,0.244,38.682,2.258,2.258,0,4.445,2.392,2.261,37.517,1.358,1.656,0,0,0,OFFBOARD
121,OUTBOUND,12.28,22.619,0.02,1.633,-38.682,0.401,-0.678,22.619,0.42,38.682,2.062,2.062,0,4.472,2.219,2.055,37.699,1.399,1.654,0,0,0,OFFBOARD
122,OUTBOUND,12.38,22.819,0.196,1.636,-38.682,0.401,-0.678,22.819,0.596,38.682,1.865,1.865,1,4.331,2.022,1.852,37.841,1.456,1.652,0,0,0,OFFBOARD
123,OUTBOUND,12.48,23.023,0.375,1.639,-38.682,0.401,-0.678,23.023,0.775,38.682,5.635,1.67,1,4.168,10.0,1.827,37.951,1.586,1.651,0,0,0,OFFBOARD
124,OUTBOUND,12.58,23.227,0.551,1.641,-38.682,0.401,-0.678,23.227,0.951,38.682,5.358,1.469,1,4.011,10.0,4.149,38.051,1.776,1.648,0,0,0,OFFBOARD
125,OUTBOUND,12.69,23.429,0.721,1.643,-38.682,0.401,-0.678,23.429,1.121,38.682,4.463,2.686,0,3.904,10.0,4.157,38.151,1.784,1.646,0,0,0,OFFBOARD
126,OUTBOUND,12.79,23.631,0.884,1.644,-38.682,0.401,-0.678,23.631,1.285,38.682,4.094,2.465,0,3.704,10.0,3.99,38.352,1.78,1.639,0,0,0,OFFBOARD
127,OUTBOUND,12.89,23.833,1.041,1.645,-38.682,0.401,-0.678,23.833,1.441,38.682,3.823,2.252,0,3.504,10.0,3.79,38.639,1.76,1.633,0,0,0,OFFBOARD
128,OUTBOUND,12.99,24.037,1.191,1.646,-38.682,0.401,-0.678,24.037,1.591,38.682,3.596,2.048,0,3.304,6.022,3.59,38.983,1.722,1.628,0,0,0,OFFBOARD
129,OUTBOUND,13.09,24.239,1.331,1.646,-38.682,0.401,-0.678,24.239,1.731,38.682,3.398,1.848,1,3.104,5.617,3.39,39.365,1.664,1.624,0,0,0,OFFBOARD
130,OUTBOUND,13.19,24.441,1.461,1.645,-38.682,0.401,-0.678,24.441,1.861,38.682,3.206,1.659,1,2.904,5.417,3.19,39.615,1.571,1.618,0,0,0,OFFBOARD
131,OUTBOUND,13.29,24.643,1.578,1.644,-38.682,0.401,-0.678,24.643,1.978,38.682,3.037,1.486,1,2.704,5.169,2.99,39.78,1.441,1.609,0,0,0,OFFBOARD
132,OUTBOUND,13.39,24.847,1.682,1.642,-38.682,0.401,-0.678,24.847,2.082,38.682,2.823,1.333,1,2.504,3.885,2.79,39.889,1.283,1.597,0,0,0,OFFBOARD
